strategy,run,iteration,infected,infected_nodes
degree,3,21,0,
degree,3,22,0,
degree,3,23,0,
degree,3,24,0,
degree,3,25,0,
degree,3,26,0,
degree,3,27,0,
degree,3,28,0,
degree,3,29,0,
betweenness,3,0,24,"60,77,96,103,127,129,153,196,206,228,232,248,256,260,274,276,291,340,377,390,405,432,491,496"
betweenness,3,1,2,"42,105"
betweenness,3,2,0,
betweenness,3,3,0,
betweenness,3,4,0,
betweenness,3,5,0,
betweenness,3,6,0,
betweenness,3,7,0,
betweenness,3,8,0,
betweenness,3,9,0,
betweenness,3,10,0,
betweenness,3,11,0,
betweenness,3,12,0,
betweenness,3,13,0,
betweenness,3,14,0,
betweenness,3,15,0,
betweenness,3,16,0,
betweenness,3,17,0,
betweenness,3,18,0,
betweenness,3,19,0,
betweenness,3,20,0,
betweenness,3,21,0,
betweenness,3,22,0,
betweenness,3,23,0,
betweenness,3,24,0,
betweenness,3,25,0,
betweenness,3,26,0,
betweenness,3,27,0,
betweenness,3,28,0,
betweenness,3,29,0,
greedy,3,0,24,"2,6,28,30,81,82,84,109,139,158,159,174,194,211,286,288,295,348,364,370,373,448,471,488"
greedy,3,1,8,"32,64,86,112,136,227,231,393"
greedy,3,2,2,"1,100"
greedy,3,3,5,"0,4,127,251,462"
greedy,3,4,4,"182,275,400,421"
greedy,3,5,0,
greedy,3,6,0,
greedy,3,7,0,
greedy,3,8,0,
greedy,3,9,0,
greedy,3,10,0,
greedy,3,11,0,
greedy,3,12,0,
greedy,3,13,0,
greedy,3,14,0,
greedy,3,15,0,
greedy,3,16,0,
greedy,3,17,0,
greedy,3,18,0,
greedy,3,19,0,
greedy,3,20,0,
greedy,3,21,0,
greedy,3,22,0,
greedy,3,23,0,
greedy,3,24,0,
greedy,3,25,0,
greedy,3,26,0,
greedy,3,27,0,
greedy,3,28,0,
greedy,3,29,0,
genetic,3,0,24,"13,24,33,50,64,116,153,182,188,191,209,228,260,276,279,299,300,339,353,377,408,417,453,470"
genetic,3,1,8,"11,15,20,144,254,262,441,472"
genetic,3,2,4,"66,192,458,497"
genetic,3,3,2,"124,429"
genetic,3,4,1,148
genetic,3,5,0,
genetic,3,6,0,
genetic,3,7,0,
genetic,3,8,0,
genetic,3,9,0,
genetic,3,10,0,
genetic,3,11,0,
genetic,3,12,0,
genetic,3,13,0,
genetic,3,14,0,
genetic,3,15,0,
genetic,3,16,0,
genetic,3,17,0,
genetic,3,18,0,
genetic,3,19,0,
genetic,3,20,0,
genetic,3,21,0,
genetic,3,22,0,
genetic,3,23,0,
genetic,3,24,0,
genetic,3,25,0,
genetic,3,26,0,
genetic,3,27,0,
genetic,3,28,0,
genetic,3,29,0,
random,4,0,24,"1,36,69,105,137,141,144,168,190,195,198,209,220,253,330,377,383,385,395,404,427,468,471,475"
random,4,1,8,"3,17,41,59,120,181,245,297"
random,4,2,8,"20,28,40,57,66,98,165,481"
random,4,3,2,"61,318"
random,4,4,0,
random,4,5,0,
random,4,6,0,
random,4,7,0,
random,4,8,0,
random,4,9,0,
random,4,10,0,
random,4,11,0,
random,4,12,0,
random,4,13,0,
random,4,14,0,
random,4,15,0,
random,4,16,0,
random,4,17,0,
random,4,18,0,
random,4,19,0,
random,4,20,0,
random,4,21,0,
random,4,22,0,
random,4,23,0,
random,4,24,0,
random,4,25,0,
random,4,26,0,
random,4,27,0,
random,4,28,0,
random,4,29,0,
degree,4,0,24,"21,33,44,48,50,87,161,185,199,219,228,235,245,271,302,306,319,327,412,414,420,422,477,479"
degree,4,1,7,"70,123,160,265,311,432,488"
degree,4,2,1,75
degree,4,3,1,192
degree,4,4,1,200
degree,4,5,0,
degree,4,6,0,
degree,4,7,0,
degree,4,8,0,
degree,4,9,0,
degree,4,10,0,
degree,4,11,0,
degree,4,12,0,
degree,4,13,0,
degree,4,14,0,
degree,4,15,0,
degree,4,16,0,
degree,4,17,0,
degree,4,18,0,
degree,4,19,0,
degree,4,20,0,
degree,4,21,0,
degree,4,22,0,
degree,4,23,0,
degree,4,24,0,
degree,4,25,0,
degree,4,26,0,
degree,4,27,0,
degree,4,28,0,
degree,4,29,0,
betweenness,4,0,24,"44,94,111,113,124,132,133,148,219,235,238,252,285,287,288,355,407,410,436,452,474,483,489,496"
betweenness,4,1,9,"31,38,73,125,152,156,173,377,433"
betweenness,4,2,1,229
betweenness,4,3,0,
betweenness,4,4,0,
betweenness,4,5,0,
betweenness,4,6,0,
betweenness,4,7,0,
betweenness,4,8,0,
betweenness,4,9,0,
betweenness,4,10,0,
betweenness,4,11,0,
betweenness,4,12,0,
betweenness,4,13,0,
betweenness,4,14,0,
betweenness,4,15,0,
betweenness,4,16,0,
betweenness,4,17,0,
betweenness,4,18,0,
betweenness,4,19,0,
betweenness,4,20,0,
betweenness,4,21,0,
betweenness,4,22,0,
betweenness,4,23,0,
betweenness,4,24,0,
betweenness,4,25,0,
betweenness,4,26,0,
betweenness,4,27,0,
betweenness,4,28,0,
betweenness,4,29,0,
greedy,4,0,24,"1,15,42,50,57,74,79,89,143,178,179,209,210,229,232,234,236,268,299,406,421,463,469,494"
greedy,4,1,13,"0,5,22,25,30,31,40,104,128,131,207,295,468"
greedy,4,2,13,"7,99,134,173,186,197,226,315,349,388,416,417,436"
greedy,4,3,2,"2,195"
greedy,4,4,3,"24,166,378"
greedy,4,5,2,"157,177"
greedy,4,6,0,
greedy,4,7,0,
greedy,4,8,0,
greedy,4,9,0,
greedy,4,10,0,
greedy,4,11,0,
greedy,4,12,0,
greedy,4,13,0,
greedy,4,14,0,
greedy,4,15,0,
greedy,4,16,0,
greedy,4,17,0,
greedy,4,18,0,
greedy,4,19,0,
greedy,4,20,0,
greedy,4,21,0,
greedy,4,22,0,
greedy,4,23,0,
greedy,4,24,0,
greedy,4,25,0,
greedy,4,26,0,
greedy,4,27,0,
greedy,4,28,0,
greedy,4,29,0,
genetic,4,0,24,"34,137,163,175,180,188,190,228,230,233,238,259,265,327,380,387,401,402,403,422,438,458,472,490"
genetic,4,1,9,"29,36,71,73,116,179,220,460,493"
genetic,4,2,3,"2,231,352"
genetic,4,3,6,"0,9,19,166,236,282"
genetic,4,4,8,"6,58,77,126,134,293,349,366"
genetic,4,5,2,"27,410"
genetic,4,6,1,185
genetic,4,7,0,
genetic,4,8,0,
genetic,4,9,0,
genetic,4,10,0,
genetic,4,11,0,
genetic,4,12,0,
genetic,4,13,0,
genetic,4,14,0,
genetic,4,15,0,
genetic,4,16,0,
genetic,4,17,0,
genetic,4,18,0,
genetic,4,19,0,
genetic,4,20,0,
genetic,4,21,0,
genetic,4,22,0,
genetic,4,23,0,
genetic,4,24,0,
genetic,4,25,0,
genetic,4,26,0,
genetic,4,27,0,
genetic,4,28,0,
genetic,4,29,0,
random,5,0,24,"14,17,27,91,94,100,108,127,139,142,155,179,183,187,232,266,303,320,353,360,367,377,422,434"
random,5,1,10,"20,90,197,271,275,311,388,392,410,431"
random,5,2,1,390
random,5,3,0,
random,5,4,0,
random,5,5,0,
random,5,6,0,
random,5,7,0,
random,5,8,0,
random,5,9,0,
random,5,10,0,
random,5,11,0,
random,5,12,0,
random,5,13,0,
random,5,14,0,
random,5,15,0,
random,5,16,0,
random,5,17,0,
random,5,18,0,
random,5,19,0,
random,5,20,0,
random,5,21,0,
random,5,22,0,
random,5,23,0,
random,5,24,0,
random,5,25,0,
random,5,26,0,
random,5,27,0,
random,5,28,0,
random,5,29,0,
degree,5,0,24,"26,39,45,50,71,74,89,91,105,169,178,180,195,197,258,284,408,452,468,474,483,485,494,498"
degree,5,1,8,"29,77,107,112,113,172,187,367"
degree,5,2,3,"11,16,24"
degree,5,3,1,12
degree,5,4,1,451
degree,5,5,0,
degree,5,6,0,
degree,5,7,0,
degree,5,8,0,
degree,5,9,0,
degree,5,10,0,
degree,5,11,0,
degree,5,12,0,
degree,5,13,0,
degree,5,14,0,
degree,5,15,0,
degree,5,16,0,
degree,5,17,0,
degree,5,18,0,
degree,5,19,0,
degree,5,20,0,
degree,5,21,0,
degree,5,22,0,
degree,5,23,0,
degree,5,24,0,
degree,5,25,0,
degree,5,26,0,
degree,5,27,0,
degree,5,28,0,
degree,5,29,0,
betweenness,5,0,24,"9,18,34,37,100,122,131,139,143,148,182,194,201,247,313,317,362,366,370,371,376,400,413,444"
betweenness,5,1,6,"130,156,211,226,261,435"
betweenness,5,2,4,"43,87,176,343"
betweenness,5,3,3,"38,54,150"
betweenness,5,4,1,280
betweenness,5,5,0,
betweenness,5,6,0,
betweenness,5,7,0,
betweenness,5,8,0,
betweenness,5,9,0,
betweenness,5,10,0,
betweenness,5,11,0,
betweenness,5,12,0,
betweenness,5,13,0,
betweenness,5,14,0,
betweenness,5,15,0,
betweenness,5,16,0,
betweenness,5,17,0,
betweenness,5,18,0,
betweenness,5,19,0,
betweenness,5,20,0,
betweenness,5,21,0,
betweenness,5,22,0,
betweenness,5,23,0,
betweenness,5,24,0,
betweenness,5,25,0,
betweenness,5,26,0,
betweenness,5,27,0,
betweenness,5,28,0,
betweenness,5,29,0,
greedy,5,0,24,"56,107,132,167,174,194,202,250,261,275,288,366,368,377,379,393,400,408,432,436,441,443,479,498"
greedy,5,1,6,"20,30,58,74,224,472"
greedy,5,2,5,"3,47,122,352,369"
greedy,5,3,4,"91,177,339,382"
greedy,5,4,0,
greedy,5,5,0,
greedy,5,6,0,
greedy,5,7,0,
greedy,5,8,0,
greedy,5,9,0,
greedy,5,10,0,
greedy,5,11,0,
greedy,5,12,0,
greedy,5,13,0,
greedy,5,14,0,
greedy,5,15,0,
greedy,5,16,0,
greedy,5,17,0,
greedy,5,18,0,
greedy,5,19,0,
greedy,5,20,0,
greedy,5,21,0,
greedy,5,22,0,
greedy,5,23,0,
greedy,5,24,0,
greedy,5,25,0,
greedy,5,26,0,
greedy,5,27,0,
greedy,5,28,0,
greedy,5,29,0,
genetic,5,0,24,"6,13,73,80,85,109,137,139,145,156,158,203,209,244,250,255,272,276,308,384,406,408,417,445"
genetic,5,1,7,"18,29,124,128,223,429,444"
genetic,5,2,3,"0,155,300"
genetic,5,3,5,"24,49,126,392,496"
genetic,5,4,6,"25,50,70,108,133,269"
genetic,5,5,3,"38,83,205"
genetic,5,6,1,212
genetic,5,7,0,
genetic,5,8,0,
genetic,5,9,0,
genetic,5,10,0,
genetic,5,11,0,
genetic,5,12,0,
genetic,5,13,0,
genetic,5,14,0,
genetic,5,15,0,
genetic,5,16,0,
genetic,5,17,0,
genetic,5,18,0,
genetic,5,19,0,
genetic,5,20,0,
genetic,5,21,0,
genetic,5,22,0,
genetic,5,23,0,
genetic,5,24,0,
genetic,5,25,0,
genetic,5,26,0,
genetic,5,27,0,
genetic,5,28,0,
genetic,5,29,0,
random,6,0,24,"2,23,26,28,87,107,116,119,121,134,208,209,213,235,261,262,295,326,360,379,398,420,469,476"
