strategy,run,iteration,infected,infected_nodes
betweenness,35,9,0,
random,36,0,4,"19,22,89,90"
random,36,1,2,"0,16"
random,36,2,3,"8,26,94"
random,36,3,2,"30,85"
random,36,4,1,50
random,36,5,1,52
random,36,6,0,
random,36,7,0,
random,36,8,0,
random,36,9,0,
degree,36,0,4,"10,13,22,62"
degree,36,1,0,
degree,36,2,0,
degree,36,3,0,
degree,36,4,0,
degree,36,5,0,
degree,36,6,0,
degree,36,7,0,
degree,36,8,0,
degree,36,9,0,
betweenness,36,0,4,"10,42,73,94"
betweenness,36,1,0,
betweenness,36,2,0,
betweenness,36,3,0,
betweenness,36,4,0,
betweenness,36,5,0,
betweenness,36,6,0,
betweenness,36,7,0,
betweenness,36,8,0,
betweenness,36,9,0,
random,37,0,4,"25,32,52,83"
random,37,1,0,
random,37,2,0,
random,37,3,0,
random,37,4,0,
random,37,5,0,
random,37,6,0,
random,37,7,0,
random,37,8,0,
random,37,9,0,
degree,37,0,4,"59,84,88,98"
degree,37,1,1,27
degree,37,2,2,"19,28"
degree,37,3,0,
degree,37,4,0,
degree,37,5,0,
degree,37,6,0,
degree,37,7,0,
degree,37,8,0,
degree,37,9,0,
betweenness,37,0,4,"35,39,83,85"
betweenness,37,1,2,"1,72"
betweenness,37,2,0,
betweenness,37,3,0,
betweenness,37,4,0,
betweenness,37,5,0,
betweenness,37,6,0,
betweenness,37,7,0,
betweenness,37,8,0,
betweenness,37,9,0,
random,38,0,4,"0,2,24,92"
random,38,1,3,"4,59,60"
random,38,2,1,9
random,38,3,0,
random,38,4,0,
random,38,5,0,
random,38,6,0,
random,38,7,0,
random,38,8,0,
random,38,9,0,
degree,38,0,4,"23,31,77,89"
degree,38,1,0,
degree,38,2,0,
degree,38,3,0,
degree,38,4,0,
degree,38,5,0,
degree,38,6,0,
degree,38,7,0,
degree,38,8,0,
degree,38,9,0,
betweenness,38,0,4,"41,55,64,84"
betweenness,38,1,0,
betweenness,38,2,0,
betweenness,38,3,0,
betweenness,38,4,0,
betweenness,38,5,0,
betweenness,38,6,0,
betweenness,38,7,0,
betweenness,38,8,0,
betweenness,38,9,0,
random,39,0,4,"26,55,59,77"
random,39,1,2,"8,83"
random,39,2,0,
random,39,3,0,
random,39,4,0,
random,39,5,0,
random,39,6,0,
random,39,7,0,
random,39,8,0,
random,39,9,0,
